Index,Power (dBm),X_Position,Y_Position,Z_Position,U_Position,V_Position,W_Position
30,-28.5763054,514549,-33779.666666666664,4455.0,-220,309,-7713
31,-27.9469719,514549,-33779.666666666664,4466.111111111111,-220,309,-7713
32,-26.7787857,514549,-33779.666666666664,4477.222222222223,-220,309,-7713
33,-25.9856796,514549,-33779.666666666664,4488.333333333333,-220,309,-7713
34,-25.3776855,514549,-33779.666666666664,4499.444444444444,-220,309,-7713
35,-25.0417252,514549,-33779.666666666664,4510.555555555556,-220,309,-7713
36,-25.0040321,514549,-33779.666666666664,4521.666666666667,-220,309,-7713
37,-25.2675438,514549,-33779.666666666664,4532.777777777777,-220,309,-7713
38,-25.7863426,514549,-33779.666666666664,4543.888888888889,-220,309,-7713
39,-26.6633911,514549,-33779.666666666664,4555.0,-220,309,-7713
40,-28.4133682,514549,-33768.555555555555,4455.0,-220,309,-7713
41,-27.8250504,514549,-33768.555555555555,4466.111111111111,-220,309,-7713
42,-26.703804,514549,-33768.555555555555,4477.222222222223,-220,309,-7713
43,-25.909935,514549,-33768.555555555555,4488.333333333333,-220,309,-7713
44,-25.3118248,514549,-33768.555555555555,4499.444444444444,-220,309,-7713
45,-24.9351883,514549,-33768.555555555555,4510.555555555556,-220,309,-7713
46,-24.9080849,514549,-33768.555555555555,4521.666666666667,-220,309,-7713
47,-25.1745491,514549,-33768.555555555555,4532.777777777777,-220,309,-7713
48,-25.6913567,514549,-33768.555555555555,4543.888888888889,-220,309,-7713
49,-26.612278,514549,-33768.555555555555,4555.0,-220,309,-7713
50,-28.649086,514549,-33757.444444444445,4455.0,-220,309,-7713
51,-28.015213,514549,-33757.444444444445,4466.111111111111,-220,309,-7713
52,-26.9096375,514549,-33757.444444444445,4477.222222222223,-220,309,-7713
53,-26.1029167,514549,-33757.444444444445,4488.333333333333,-220,309,-7713
54,-25.4849548,514549,-33757.444444444445,4499.444444444444,-220,309,-7713
55,-25.1104202,514549,-33757.444444444445,4510.555555555556,-220,309,-7713
56,-25.07621,514549,-33757.444444444445,4521.666666666667,-220,309,-7713
57,-25.3291092,514549,-33757.444444444445,4532.777777777777,-220,309,-7713
58,-25.8067017,514549,-33757.444444444445,4543.888888888889,-220,309,-7713
59,-26.6995049,514549,-33757.444444444445,4555.0,-220,309,-7713
60,-29.0732956,514549,-33746.333333333336,4455.0,-220,309,-7713
61,-28.4521675,514549,-33746.333333333336,4466.111111111111,-220,309,-7713
62,-27.3444481,514549,-33746.333333333336,4477.222222222223,-220,309,-7713
63,-26.5182648,514549,-33746.333333333336,4488.333333333333,-220,309,-7713
64,-25.8912964,514549,-33746.333333333336,4499.444444444444,-220,309,-7713
65,-25.5333481,514549,-33746.333333333336,4510.555555555556,-220,309,-7713
66,-25.5060539,514549,-33746.333333333336,4521.666666666667,-220,309,-7713
67,-25.7885475,514549,-33746.333333333336,4532.777777777777,-220,309,-7713
68,-26.2865715,514549,-33746.333333333336,4543.888888888889,-220,309,-7713
69,-27.2089615,514549,-33746.333333333336,4555.0,-220,309,-7713
70,-29.5659447,514549,-33735.22222222222,4455.0,-220,309,-7713
71,-29.0116806,514549,-33735.22222222222,4466.111111111111,-220,309,-7713
72,-27.8631439,514549,-33735.22222222222,4477.222222222223,-220,309,-7713
73,-27.1148453,514549,-33735.22222222222,4488.333333333333,-220,309,-7713
74,-26.5090523,514549,-33735.22222222222,4499.444444444444,-220,309,-7713
75,-26.1872826,514549,-33735.22222222222,4510.555555555556,-220,309,-7713
76,-26.1652794,514549,-33735.22222222222,4521.666666666667,-220,309,-7713
77,-26.4263954,514549,-33735.22222222222,4532.777777777777,-220,309,-7713
78,-26.9381676,514549,-33735.22222222222,4543.888888888889,-220,309,-7713
79,-27.82967,514549,-33735.22222222222,4555.0,-220,309,-7713
80,-30.4670258,514549,-33724.11111111111,4455.0,-220,309,-7713
81,-29.866394,514549,-33724.11111111111,4466.111111111111,-220,309,-7713
82,-28.8018379,514549,-33724.11111111111,4477.222222222223,-220,309,-7713
83,-28.0264359,514549,-33724.11111111111,4488.333333333333,-220,309,-7713
84,-27.4294395,514549,-33724.11111111111,4499.444444444444,-220,309,-7713
85,-27.0801697,514549,-33724.11111111111,4510.555555555556,-220,309,-7713
86,-27.0545654,514549,-33724.11111111111,4521.666666666667,-220,309,-7713
87,-27.2976532,514549,-33724.11111111111,4532.777777777777,-220,309,-7713
88,-27.8418274,514549,-33724.11111111111,4543.888888888889,-220,309,-7713
89,-28.780529,514549,-33724.11111111111,4555.0,-220,309,-7713
90,-31.1851196,514549,-33713.0,4455.0,-220,309,-7713
91,-30.6183853,514549,-33713.0,4466.111111111111,-220,309,-7713
92,-29.5841103,514549,-33713.0,4477.222222222223,-220,309,-7713
93,-28.8719749,514549,-33713.0,4488.333333333333,-220,309,-7713
94,-28.3363762,514549,-33713.0,4499.444444444444,-220,309,-7713
95,-28.0554695,514549,-33713.0,4510.555555555556,-220,309,-7713
96,-28.0908852,514549,-33713.0,4521.666666666667,-220,309,-7713
97,-28.4198456,514549,-33713.0,4532.777777777777,-220,309,-7713
98,-28.9414253,514549,-33713.0,4543.888888888889,-220,309,-7713
99,-29.8825531,514549,-33713.0,4555.0,-220,309,-7713
